0,1,2
2.106790493006862,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.001}","[2.0538674040129807, 2.1295295069130775, 2.1037828481200096, 2.1374713019786733, 2.1093014040095692]"
2.1069614683146813,"{'C': 50, 'epsilon': 0.001, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.01}","[2.084134968430945, 2.113525054685991, 2.073739180440206, 2.181104960589951, 2.0823031774263128]"
2.109833458656092,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 10, 'tolerance': 0.01}","[2.079224861879792, 2.101617705471855, 2.163194058204503, 1.9342283281979982, 2.270902339526312]"
2.110283370392767,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.0001}","[2.0452619123439297, 2.1513025773002723, 2.0735307870150375, 2.131158639054165, 2.1501629362504295]"
2.1126367436876228,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.0001}","[2.0393406302268775, 2.150098197096035, 2.0956181283883826, 2.1267464305488923, 2.1513803321779257]"
2.1141142885268964,"{'C': 100, 'epsilon': 0.001, 'gamma': 0.5, 'max_iter': 10, 'tolerance': 0.01}","[2.020285229151068, 2.11411605505491, 2.284468223207923, 1.9962656355170156, 2.1554362997035623]"
2.114234252589436,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.0001}","[2.057573181349927, 2.140188747551855, 2.0871183874228585, 2.1278225918570466, 2.158468354765495]"
2.114591475836055,"{'C': 100, 'epsilon': 0.001, 'gamma': 0.5, 'max_iter': 10, 'tolerance': 0.001}","[2.050719907166373, 2.0319706576796377, 2.4004678284107137, 2.1361151090023642, 1.9536838769211853]"
2.1161925225145697,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.0001}","[2.088364509778969, 2.1452197216195135, 2.0831834621597145, 2.130383931244864, 2.133810987769786]"
2.1161979872297483,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.01}","[2.058699042207706, 2.141017211587758, 2.096422307347318, 2.1291496019369527, 2.155701773069007]"
2.1166107729015744,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.001}","[2.0672743772597517, 2.1019589304626884, 2.0715575360439047, 2.2702872695205762, 2.071975751220952]"
2.1171482018643846,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.001}","[2.044975784727213, 2.152350963644076, 2.096116229516006, 2.1251367071272282, 2.1671613243073984]"
2.1179380460500434,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.001}","[2.059017691353342, 2.1338261870454507, 2.085831403934809, 2.1527664516130174, 2.158248496303599]"
2.1186009708170386,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.0001}","[2.047261796529892, 2.1662111924933503, 2.1148439068437868, 2.1118599093146186, 2.1528280489035443]"
2.1190016062432306,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.001}","[2.0111060915170675, 2.1479854074548204, 2.112449530907045, 2.157476664369112, 2.1659903369681084]"
2.1202920803525984,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.5, 'max_iter': 100, 'tolerance': 0.0001}","[2.03666125268003, 2.0782494635904882, 2.2527576376317238, 2.2725523740539617, 1.9612396738067877]"
2.1206039929990563,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 10, 'tolerance': 0.001}","[2.0494698353594853, 2.1503467691594707, 2.075943278394683, 2.2679071208214188, 2.0593529612602235]"
2.1206310960710253,"{'C': 75, 'epsilon': 0.01, 'gamma': 0.75, 'max_iter': 100, 'tolerance': 0.01}","[2.0488496304436628, 2.1456447571862776, 2.1054192031975068, 2.140415311705114, 2.162826577822566]"
2.1212399997859404,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.5, 'max_iter': 10, 'tolerance': 0.001}","[2.125069415602501, 2.109754922833439, 2.0569705251003643, 2.374471068054689, 1.9399340673387087]"
2.1216163882975763,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.001}","[2.0603792151653355, 2.1487253889148237, 2.0886139656168696, 2.1488739176468794, 2.1614894541439735]"
2.12231160495016,"{'C': 75, 'epsilon': 0.1, 'gamma': 0.75, 'max_iter': 50, 'tolerance': 0.01}","[2.0477686865780678, 2.1457132920576205, 2.0869666927709827, 2.1785243427964405, 2.1525850105476905]"
